,name,place,shop_url,buyer_rate,seller_rate,sim_trade,good_trade,s1,s2,s3,s1_count,s2_count,s3_count,r1,r2,r3,r4,r5,r6,r7,r8,c1,c2,c3,favourate,amount,register_time
1,佳和维修网 ,广东广州,http://shop59558062.taobao.com,41,435,0,100,4.9,4.9,4.9,148,148,148,24,190,433,2,3,14,40,1,57,59,50,150,507,227
2,华骏联科技 ,None,http://shop60172108.taobao.com,28,631,0,100,4.9,4.9,4.9,559,559,557,23,254,631,0,0,24,28,0,69,62,64,38,233,163
3,板卡厂家直销 ,广东深圳,http://shop57127795.taobao.com,6,529,0,100,4.8,4.9,4.9,381,371,369,33,225,514,15,0,0,4,2,43,58,57,1094,21,462
4,kanameng ,广东深圳,http://shop33568988.taobao.com,78,232,0,100,4.9,4.9,4.9,53,53,53,1,16,81,151,0,4,29,49,74,79,90,165,149,1524
5,hao963 ,广东广州,http://shop34134159.taobao.com,14,278,0,100,4.6,4.7,4.8,56,55,55,1,20,80,199,0,1,4,10,98,98,32,249,161,1264
6,蓝美景色 ,江苏南京,http://shop59288184.taobao.com,17,323,0,100,4.7,4.8,4.8,180,183,179,5,33,202,121,1,2,13,4,99,18,23,96,79,259
7,名牌pc专卖 ,None,http://shop59453951.taobao.com,0,256,0,100,4.8,4.9,4.9,155,153,154,5,18,159,117,0,0,0,0,50,60,48,221,308,237
8,蒙乐城硬盘 ,None,http://shop60477224.taobao.com,16,518,0,100,4.8,4.8,4.8,201,199,201,39,194,518,0,7,14,16,0,29,39,31,59,126,124
9,诚信服务店_2008 ,湖北武汉,http://shop57497123.taobao.com,23,405,9,91,4.9,4.8,4.8,191,188,188,24,136,370,35,0,2,21,2,57,35,100,96,213,443
10,闽南高清 ,福建厦门,http://shop57073717.taobao.com,59,303,0,100,4.9,4.9,4.9,129,129,129,14,42,166,155,0,0,8,51,86,79,88,301,136,467
11,深圳一本通 ,广东深圳,http://shop57916422.taobao.com,72,202,0,100,4.4,4.6,4.6,51,51,51,2,9,74,128,1,5,40,32,94,97,97,44,311,410
12,翔速商用it专供 ,上海,http://shop35722157.taobao.com,6,291,17,83,4.8,4.9,4.9,82,80,80,7,31,154,137,0,1,6,0,44,51,73,130,844,766
13,祥瑞连锁店 ,None,http://shop59662114.taobao.com,0,371,0,100,4.6,4.7,4.6,93,92,91,23,141,336,35,0,0,0,0,96,98,97,4430,56,217
14,fangqing221 ,上海,http://shop35793988.taobao.com,115,340,0,100,4.7,4.8,4.8,117,116,117,15,78,197,145,10,13,53,62,6,9,18,98,39,751
15,ping41186 ,北京,http://shop34658272.taobao.com,56,296,0,100,4.7,4.7,4.7,109,110,109,9,34,167,130,2,9,29,27,100,99,98,98,584,1053
16,jlcy2009 ,江苏南京,http://shop59533996.taobao.com,57,324,0,100,4.9,4.9,4.9,138,138,138,6,56,271,53,0,8,57,0,57,48,73,65,129,229
17,wangkuntar ,山东济南,http://shop57021602.taobao.com,58,245,0,100,4.5,4.7,4.7,73,73,71,0,3,118,130,2,9,28,30,96,99,100,44,491,472
18,优彩液晶 ,None,http://shop58573092.taobao.com,13,269,0,100,4.4,4.7,4.6,100,98,99,0,33,168,103,0,0,7,6,94,98,96,92,390,343
19,7011523lyh ,湖北武汉,http://shop59347187.taobao.com,32,345,0,100,4.9,4.9,4.8,152,146,149,35,109,322,23,0,3,27,5,67,70,46,126,494,252
20,hunanjinxiaohua ,湖南长沙,http://shop60537583.taobao.com,66,271,0,100,4.9,4.9,4.9,219,221,217,16,55,270,1,0,0,18,48,86,82,78,112,1292,112
21,伟华批发 ,广东佛山,http://shop36537588.taobao.com,74,309,0,100,4.7,4.8,4.8,222,219,219,15,75,285,24,0,6,42,32,100,16,17,85,68,587
22,feichangpingguopai ,北京,http://shop57156622.taobao.com,96,351,0,100,4.9,4.9,4.8,108,106,108,5,73,263,88,6,16,68,28,70,48,36,83,436,459
23,xue_1990 ,江苏南京,http://shop36655156.taobao.com,11,547,0,100,4.8,4.8,4.8,217,215,214,36,176,379,169,0,1,9,2,39,17,23,102,546,567
24,gxm_0918 ,广东东莞,http://shop36860408.taobao.com,1,296,0,100,4.6,4.8,4.7,140,140,139,3,46,176,122,0,0,0,1,98,100,100,146,14,534
25,xxwlovelzh ,上海,http://shop58243720.taobao.com,52,286,0,100,4.7,4.7,4.7,142,142,141,10,37,217,74,0,0,14,40,99,99,99,47,370,378
26,赵培1984 ,湖北武汉,http://shop58394899.taobao.com,48,290,0,100,4.8,4.8,4.7,100,100,101,4,21,171,119,0,0,0,48,17,17,99,100,257,362
27,v8房间 ,None,http://shop36996721.taobao.com,43,459,0,100,4.8,4.8,4.8,237,235,234,44,153,383,78,0,1,10,34,25,12,10,50,3129,507
28,duanshizhuan ,广东深圳,http://shop33334523.taobao.com,83,277,0,100,4.8,4.8,4.8,109,108,108,11,62,197,80,0,2,23,60,24,38,31,198,144,1664
29,金东富公司 ,None,http://shop59873797.taobao.com,1,462,0,100,4.6,4.7,4.7,203,200,199,26,124,465,1,0,0,1,0,98,99,99,21,411,195
30,麦课一班 ,上海,http://shop34323783.taobao.com,268,172,0,100,5,5,5,21,21,21,0,1,37,135,1,1,45,223,100,100,100,145,36,1174
31,whcool ,江苏南京,http://shop34419144.taobao.com,97,243,0,100,4.7,4.8,4.8,68,67,67,0,20,99,146,0,6,36,61,6,17,5,45,110,1141
32,tracy_850529 ,上海,http://shop35440772.taobao.com,84,406,0,100,4.8,4.7,4.7,187,183,181,28,112,291,115,2,5,24,60,14,100,99,116,304,817